movie,reviewer,metascore,review_score,review_text,review_date,release_date,acclaim_rate,user_score,director,languages,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,unknown,release_decade
The Grandmaster,Manohla Dargis,73.0,100,"The Grandmaster is, at its most persuasive, about the triumph of style. When Ip Man slyly asks “What’s your style?” it’s clear that Mr. Wong is asking the same question because here, as in his other films, style isn’t reducible to ravishing surfaces; it’s an expression of meaning.",2013-08-22,2013-08-23,Generally favorable reviews,67.0,Kar Wai Wong,Mandarin,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Of Gods and Men,A.O. Scott,86.0,100,"Of Gods and Men is supple and suspenseful, appropriately austere without being overly harsh, and without forgoing the customary pleasures of cinema. The performances are strong, the narrative gathers momentum as it progresses, and the camera is alive to the beauty of the Algerian countryside.",2011-02-24,2011-02-25,Generally favorable reviews,70.0,Xavier Beauvois,French,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Kubo and the Two Strings,Glenn Kenny,84.0,100,"The action is gorgeously fluid, the idiosyncratic 3-D visual conceits (including floating eyeballs undersea) are startling, and the story and its metaphors resolve in unexpected and moving ways.",2016-08-18,2016-08-19,Universal acclaim,81.0,Travis Knight,English,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Jane,Ben Kenigsberg,87.0,100,Jane will delight those familiar with Ms. Goodall and provide a vibrant introduction for newcomers.,2017-10-19,2017-10-20,No score yet,,Brett Morgen,English,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Bird People,A.O. Scott,70.0,100,"There are plot twists, and then there is what Ms. Ferran does here, which is to transform — impetuously, improbably and altogether marvelously — this somber, realistic tale into something else entirely.",2014-09-11,2014-09-12,Generally favorable reviews,70.0,Pascale Ferran,English,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010s
The Waiting Room,Stephen Holden,84.0,100,"Scrupulously apolitical, The Waiting Room is the opposite of a polemic like Michael Moore's ""Sicko."" But by removing any editorial screen, it confronts you head-on with human suffering that a more humane and equitable system might help alleviate.",2012-09-25,2012-09-28,No score yet,,Peter Nicks,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Field Niggas,Glenn Kenny,83.0,100,"While the movie’s multiple images are never less than numinous, and its rhythms sometimes skirt the strangely seductive, this astonishing movie is the opposite of hypnotic.",2015-10-15,2015-10-16,No score yet,,Khalik Allah,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Being John Malkovich,Janet Maslin,90.0,100,"Irresistable, nimble and very funny.",,1999-10-29,Universal acclaim,89.0,Spike Jonze,English,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1990s
The Tree of Life,A.O. Scott,85.0,100,"With disarming sincerity and daunting formal sophistication The Tree of Life ponders some of the hardest and most persistent questions, the kind that leave adults speechless when children ask them.",2011-05-26,2011-05-27,Generally favorable reviews,70.0,Terrence Malick,English,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Argo,Manohla Dargis,86.0,100,It's a doozy of a story and so borderline ridiculous that it sounds - ta-da! - like something that could have been cooked up only by Hollywood.,2012-10-11,2012-10-12,Generally favorable reviews,77.0,Ben Affleck,unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Okja,A.O. Scott,76.0,100,"The picture, which never stops moving, is dense with information and feeling. Barbs of satire pop up and are washed away on streams of strong emotion. It’s all marvelously preposterous and yet, at the same time, something important is at stake.",2017-06-27,2017-06-28,Generally favorable reviews,74.0,Joon-ho Bong,English,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010s
Summer Palace,A.O. Scott,79.0,100,"In Summer Palace Lou nonetheless succeeds in finding a cinematic language that does more than summarize the important events of a confusing decade. He distills the inner confusion -- the swirl of moods, whims and needs -- that is the lived and living essence of history.",,2008-01-18,Generally favorable reviews,63.0,Ye Lou,German,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000s
Aferim!,A.O. Scott,84.0,100,"Shot in richly toned, wide-screen black and white, Aferim! looks like an elegant exercise in period playacting. But it casts a fierce, revisionist eye on the past, finding the cruelty and prejudice that lie beneath the pageantry.",2016-01-21,2016-01-22,Generally favorable reviews,78.0,Radu Jude,Romanian,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2010s
Spring Breakers,Manohla Dargis,63.0,100,"In Spring Breakers [Mr. Korine] bores into a contested, deeply American topic — the pursuit of happiness taken to nihilistic extremes — but turns his exploration into such a gonzo, outrageously funny party that it takes a while to appreciate that this is more of a horror film than a comedy.",2013-03-14,2013-03-15,Mixed or average reviews,58.0,Harmony Korine,English,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010s
Inherent Vice,Manohla Dargis,81.0,100,"Mr. Phoenix’s note-perfect performance flows on the story’s currents of comedy that occasionally turn into rapids, as the funny ha-ha, funny strange back-and-forth abruptly gives way to Three Stooges slapstick.",2014-12-11,2014-12-12,Generally favorable reviews,74.0,Paul Thomas Anderson,English,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2010s
After Life,Stephen Holden,91.0,100,"After Life becomes a quiet, extraordinarily moving and sometimes funny meditation on the meaning and value of life. It intimates that whatever happiness we may find in life comes from within and is self-created.",,1999-05-12,No score yet,,Hirokazu Koreeda,Japanese,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990s
Elena,Stephen Holden,87.0,100,"Post-Soviet Russia in Andrei Zvyagintsev's somber, gripping film Elena is a moral vacuum where money rules, the haves are contemptuous of the have-nots, and class resentment simmers. The movie, which shuttles between the center of Moscow and its outskirts, is grim enough to suggest that even if you were rich, you wouldn't want to live there.",2012-05-17,2012-05-18,Generally favorable reviews,73.0,Andrei Zvyagintsev,Russian,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
