movie,reviewer,metascore,review_score,review_text,review_date,details
The Grandmaster,Manohla Dargis,73,100,"The Grandmaster is, at its most persuasive, about the triumph of style. When Ip Man slyly asks “What’s your style?” it’s clear that Mr. Wong is asking the same question because here, as in his other films, style isn’t reducible to ravishing surfaces; it’s an expression of meaning.","Aug 22, 2013",http://www.metacritic.com/movie/the-grandmasters/details
Of Gods and Men,A.O. Scott,86,100,"Of Gods and Men is supple and suspenseful, appropriately austere without being overly harsh, and without forgoing the customary pleasures of cinema. The performances are strong, the narrative gathers momentum as it progresses, and the camera is alive to the beauty of the Algerian countryside.","Feb 24, 2011",http://www.metacritic.com/movie/of-gods-and-men/details
Kubo and the Two Strings,Glenn Kenny,84,100,"The action is gorgeously fluid, the idiosyncratic 3-D visual conceits (including floating eyeballs undersea) are startling, and the story and its metaphors resolve in unexpected and moving ways.","Aug 18, 2016",http://www.metacritic.com/movie/kubo-and-the-two-strings/details
Jane,Ben Kenigsberg,87,100,Jane will delight those familiar with Ms. Goodall and provide a vibrant introduction for newcomers.,"Oct 19, 2017",http://www.metacritic.com/movie/jane/details
Bird People,A.O. Scott,70,100,"There are plot twists, and then there is what Ms. Ferran does here, which is to transform — impetuously, improbably and altogether marvelously — this somber, realistic tale into something else entirely.","Sep 11, 2014",http://www.metacritic.com/movie/bird-people/details
The Waiting Room,Stephen Holden,84,100,"Scrupulously apolitical, The Waiting Room is the opposite of a polemic like Michael Moore's ""Sicko."" But by removing any editorial screen, it confronts you head-on with human suffering that a more humane and equitable system might help alleviate.","Sep 25, 2012",http://www.metacritic.com/movie/the-waiting-room/details
Field Niggas,Glenn Kenny,83,100,"While the movie’s multiple images are never less than numinous, and its rhythms sometimes skirt the strangely seductive, this astonishing movie is the opposite of hypnotic.","Oct 15, 2015",http://www.metacritic.com/movie/field-niggas/details
Being John Malkovich,Janet Maslin,90,100,"Irresistable, nimble and very funny.",,http://www.metacritic.com/movie/being-john-malkovich/details
The Tree of Life,A.O. Scott,85,100,"With disarming sincerity and daunting formal sophistication The Tree of Life ponders some of the hardest and most persistent questions, the kind that leave adults speechless when children ask them.","May 26, 2011",http://www.metacritic.com/movie/the-tree-of-life/details
Argo,Manohla Dargis,86,100,It's a doozy of a story and so borderline ridiculous that it sounds - ta-da! - like something that could have been cooked up only by Hollywood.,"Oct 11, 2012",http://www.metacritic.com/movie/argo/details
Okja,A.O. Scott,76,100,"The picture, which never stops moving, is dense with information and feeling. Barbs of satire pop up and are washed away on streams of strong emotion. It’s all marvelously preposterous and yet, at the same time, something important is at stake.","Jun 27, 2017",http://www.metacritic.com/movie/okja/details
Summer Palace,A.O. Scott,79,100,"In Summer Palace Lou nonetheless succeeds in finding a cinematic language that does more than summarize the important events of a confusing decade. He distills the inner confusion -- the swirl of moods, whims and needs -- that is the lived and living essence of history.",,http://www.metacritic.com/movie/summer-palace/details
Aferim!,A.O. Scott,84,100,"Shot in richly toned, wide-screen black and white, Aferim! looks like an elegant exercise in period playacting. But it casts a fierce, revisionist eye on the past, finding the cruelty and prejudice that lie beneath the pageantry.","Jan 21, 2016",http://www.metacritic.com/movie/aferim!/details
Spring Breakers,Manohla Dargis,63,100,"In Spring Breakers [Mr. Korine] bores into a contested, deeply American topic — the pursuit of happiness taken to nihilistic extremes — but turns his exploration into such a gonzo, outrageously funny party that it takes a while to appreciate that this is more of a horror film than a comedy.","Mar 14, 2013",http://www.metacritic.com/movie/spring-breakers/details
Inherent Vice,Manohla Dargis,81,100,"Mr. Phoenix’s note-perfect performance flows on the story’s currents of comedy that occasionally turn into rapids, as the funny ha-ha, funny strange back-and-forth abruptly gives way to Three Stooges slapstick.","Dec 11, 2014",http://www.metacritic.com/movie/inherent-vice/details
After Life,Stephen Holden,91,100,"After Life becomes a quiet, extraordinarily moving and sometimes funny meditation on the meaning and value of life. It intimates that whatever happiness we may find in life comes from within and is self-created.",,http://www.metacritic.com/movie/after-life/details
Elena,Stephen Holden,87,100,"Post-Soviet Russia in Andrei Zvyagintsev's somber, gripping film Elena is a moral vacuum where money rules, the haves are contemptuous of the have-nots, and class resentment simmers. The movie, which shuttles between the center of Moscow and its outskirts, is grim enough to suggest that even if you were rich, you wouldn't want to live there.","May 17, 2012",http://www.metacritic.com/movie/elena/details
Drinking Buddies,A.O. Scott,71,100,"Drinking Buddies, Joe Swanberg’s nimble, knowing and altogether excellent new film, refuses to dance to the usual tune.","Aug 22, 2013",http://www.metacritic.com/movie/drinking-buddies/details
"20,000 Days on Earth",Stephen Holden,83,100,It is as intimate and honest a portrait of a rock artist’s creative roots as any film has attempted.,"Sep 17, 2014",http://www.metacritic.com/movie/20000-days-on-earth/details
The Dirties,Jeannette Catsoulis,65,100,"Remarkable as much for its insights as for its audacity, The Dirties approaches school violence with a comic veneer that slowly shades into deep darkness.","Oct  3, 2013",http://www.metacritic.com/movie/the-dirties/details
Neon Bull,Stephen Holden,80,100,Neon Bull is a profound reflection on the intersection of the human and bestial.,"Apr  7, 2016",http://www.metacritic.com/movie/neon-bull/details
